StdParamName,SourceGroup,LogTransf,UseInStressorID,DirIncStress,SSIndex,SSTVname.bmi,SensMax.bmi,SensMin.bmi,SSTVname.alg,SensMax.alg,SensMin.alg,SSTVname.fish,SensMax.fish,SensMin.fish,Label
PCB_110_115_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-110/115 (pg/g)
PCB_118_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-118 (pg/g)
PCB_129_138_160_163_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-129/138/160/163 (pg/g)
PCB_130_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-130 (pg/g)
PCB_132_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-132 (pg/g)
PCB_135_151_154_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-135/151/154 (pg/g)
PCB_136_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-136 (pg/g)
PCB_137_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-137 (pg/g)
PCB_141_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-141 (pg/g)
PCB_146_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-146 (pg/g)
PCB_147_149_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-147/149 (pg/g)
PCB_153_168_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-153/168 (pg/g)
PCB_156_157_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-156/157 (pg/g)
PCB_158_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-158 (pg/g)
PCB_164_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-164 (pg/g)
PCB_170_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-170 (pg/g)
PCB_174_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-174 (pg/g)
PCB_177_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-177 (pg/g)
PCB_179_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-179 (pg/g)
PCB_180_193_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-180/193 (pg/g)
PCB_183_185_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-183/185 (pg/g)
PCB_194_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-194 (pg/g)
PCB_198_199_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-198/199 (pg/g)
PCB_202_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-202 (pg/g)
PCB_203_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-203 (pg/g)
PCB_206_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-206 (pg/g)
