StressSampleID,StationID,StressSampleDate,StdParamName,ResultValue
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,Di_n_octyl_phthalate_ug_kg,200
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,Fluoranthene_ug_kg,20
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,Fluorene_ug_kg,20
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,Indeno_1_2_3_cd_pyrene_ug_kg,20
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,Naphthalene_ug_kg,39
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,Phenanthrene_ug_kg,20
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,Pyrene_ug_kg,20
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,Moisture_Content_PCT,33.2
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,PCB_083_099_pg_g,5.08
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,PCB_085_116_117_pg_g,2.08
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,PCB_090_101_113_pg_g,6.16
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,PCB_093_095_098_100_102_pg_g,2.68
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,PCB_105_pg_g,2.99
RSM06600_007971_DCE_2015_0806_11_48,RSM06600_007971,8/6/2015,PCB_110_115_pg_g,6.5
